,location,total_sqft,bath,price,bhk
1743,Dasarahalli,2100.0,3.0,120.0,3
1744,Dasarahalli,1220.0,2.0,52.0,2
1745,Dasarahalli,1375.0,2.0,60.0,2
1746,Dasarahalli,1333.0,2.0,78.56,2
1747,Dasarahalli,1220.0,2.0,62.0,2
1748,Devanahalli,1260.0,2.0,66.78,2
1749,Devanahalli,1282.0,2.0,68.52,3
1751,Devanahalli,6136.0,4.0,560.0,4
1752,Devanahalli,1408.0,2.0,85.0,2
1755,Devanahalli,5000.0,5.0,395.0,4
1756,Devanahalli,2400.0,5.0,100.0,5
1760,Devanahalli,2400.0,5.0,190.0,4
1761,Devanahalli,1200.0,1.0,95.0,1
1762,Devanahalli,5000.0,4.0,465.0,4
1763,Devanahalli,658.0,1.0,34.0,1
1764,Devanahalli,658.0,1.0,26.91,1
1766,Devanahalli,6136.0,4.0,550.0,4
1767,Devanahalli,1554.4581916360287,3.0,88.2,3
1768,Devanahalli,1498.0,3.0,79.15,3
1769,Devanahalli,1466.0,3.0,77.59,3
1770,Devanahalli,775.0,1.0,39.0,1
1771,Devanahalli,1020.0,2.0,49.87,1
1773,Devanahalli,1550.0,3.0,85.0,3
1776,Devanahalli,2125.0,3.0,107.0,3
1779,Devanahalli,658.0,1.0,26.91,1
1781,Devanahalli,1010.0,2.0,58.0,2
1784,Dodda Nekkundi,1260.0,2.0,55.0,2
1785,Dodda Nekkundi,850.0,2.0,28.0,2
1786,Dodda Nekkundi,1390.0,2.0,60.0,2
1787,Dodda Nekkundi,1804.0,3.0,121.0,3
1788,Dodda Nekkundi,1080.0,2.0,50.0,2
1789,Dodda Nekkundi,1999.0,3.0,132.0,3
1790,Dodda Nekkundi,1100.0,2.0,48.0,2
1791,Dodda Nekkundi,1999.0,3.0,135.0,3
1792,Dodda Nekkundi,1100.0,2.0,41.15,2
1793,Dodda Nekkundi,1252.0,2.0,71.0,3
1794,Dodda Nekkundi,1155.0,2.0,46.0,2
1795,Dodda Nekkundi,1128.0,2.0,45.0,2
1796,Dodda Nekkundi,1148.0,2.0,56.0,2
1798,Dodda Nekkundi,1145.0,2.0,46.5,2
1799,Dodda Nekkundi,1829.0,3.0,125.0,3
1800,Dodda Nekkundi,1100.0,2.0,41.16,2
1801,Dodda Nekkundi,1100.0,2.0,46.75,2
1802,Dodda Nekkundi,1315.0,2.0,50.0,2
1803,Dodda Nekkundi,1135.0,2.0,58.0,2
1804,Dodda Nekkundi,1100.0,2.0,41.18,2
1805,Dodda Nekkundi,1370.0,2.0,60.0,2
1806,Dodda Nekkundi,1200.0,2.0,71.0,2
1807,Dodda Nekkundi,1585.0,2.0,79.0,3
1808,Dodda Nekkundi,1005.0,2.0,45.0,2
1809,Dodda Nekkundi,1264.0,2.0,52.0,2
1810,Doddaballapur,1690.0,3.0,80.0,4
1811,Doddaballapur,3000.0,2.0,120.0,3
1812,Doddaballapur,4200.0,4.0,325.0,4
1813,Doddaballapur,3876.0,3.0,300.0,3
1814,Doddaballapur,2776.0,4.0,195.0,3
1815,Doddaballapur,2440.0,3.0,142.0,3
1816,Doddaballapur,2400.0,3.0,200.0,4
1817,Doddaballapur,654.0,1.0,49.0,1
1818,Doddaballapur,3206.0,5.0,270.0,4
1819,Doddakallasandra,1010.0,2.0,40.39,2
1824,Doddakallasandra,1010.0,2.0,40.39,2
1825,Doddakallasandra,1072.0,2.0,42.87,2
1826,Doddakallasandra,1010.0,2.0,40.4,2
1827,Doddakallasandra,1010.0,2.0,41.0,2
1828,Doddakallasandra,1072.0,2.0,42.87,2
1829,Doddathoguru,970.0,2.0,33.0,2
1830,Doddathoguru,1050.0,2.0,32.0,2
1831,Doddathoguru,850.0,2.0,25.0,2
1832,Doddathoguru,1030.0,2.0,42.0,2
1833,Doddathoguru,1549.0,3.0,65.0,3
1835,Doddathoguru,550.0,1.0,17.0,1
1836,Doddathoguru,1015.0,2.0,33.5,2
1837,Doddathoguru,1104.0,2.0,39.0,2
1838,Doddathoguru,915.0,2.0,32.0,2
1839,Doddathoguru,750.0,1.0,25.5,1
1840,Doddathoguru,1595.0,3.0,62.0,3
1841,Doddathoguru,855.0,2.0,32.0,2
1842,Doddathoguru,1105.0,2.0,50.0,2
1843,Doddathoguru,925.0,2.0,30.0,2
1845,Doddathoguru,1208.0,3.0,45.0,3
1846,Doddathoguru,1100.0,2.0,50.0,2
1847,Doddathoguru,940.0,2.0,32.9,2
1848,Doddathoguru,1382.0,3.0,65.0,3
1849,Doddathoguru,1107.0,2.0,44.0,2
1850,Doddathoguru,907.0,2.0,40.0,2
1851,Doddathoguru,1783.0,3.0,85.0,3
1852,Doddathoguru,550.0,1.0,17.0,1
1853,Domlur,1540.0,3.0,90.0,3
1854,Domlur,1875.0,2.0,150.0,3
1855,Domlur,1429.0,3.0,86.0,3
1856,Domlur,640.0,1.0,55.0,1
1857,Domlur,1050.0,2.0,85.0,2
1858,Domlur,1800.0,3.0,150.0,3
1859,Domlur,1720.0,3.0,135.0,3
1860,Domlur,1950.0,3.0,165.0,3
1861,Domlur,2180.0,3.0,285.0,3
1862,Domlur,650.0,1.0,70.0,1
1863,Domlur,780.0,1.0,70.0,1
1864,Domlur,2180.0,3.0,285.0,3
1865,Domlur,1740.0,3.0,120.0,3
1866,Domlur,1695.0,3.0,125.0,3
1867,Domlur,1246.0,2.0,95.0,2
1868,Domlur,2100.0,3.0,145.0,3
1869,Domlur,1276.0,2.0,80.0,2
1870,Domlur,1850.0,3.0,180.0,3
1871,Domlur,2955.0,3.0,235.0,3
1872,Domlur,1650.0,3.0,180.0,3
1873,Dommasandra,805.0,2.0,22.14,2
1875,Dommasandra,1267.0,3.0,56.0,3
1876,Dommasandra,1200.0,2.0,50.0,2
1877,Dommasandra,2700.0,3.0,68.0,4
1879,Dommasandra,1153.0,2.0,43.5,2
1880,Dommasandra,1500.0,2.0,40.0,2
1881,Dommasandra,1090.0,2.0,43.5,2
1882,Dommasandra,850.0,2.0,25.4,2
1883,Dommasandra,674.0,1.0,19.9,2
1884,Dommasandra,999.0,2.0,32.9,2
1885,EPIP Zone,1499.0,5.0,102.0,3
1886,EPIP Zone,1285.0,2.0,82.0,2
1887,EPIP Zone,2330.0,3.0,162.0,3
1888,EPIP Zone,1330.0,2.0,92.5,2
1889,EPIP Zone,1330.0,2.0,86.98,2
1890,EPIP Zone,1330.0,2.0,93.36,2
1891,EPIP Zone,2160.0,4.0,172.0,3
1892,EPIP Zone,1500.0,3.0,102.0,3
1893,EPIP Zone,1280.0,2.0,69.0,2
1894,EPIP Zone,1125.0,2.0,65.0,2
1895,EPIP Zone,1734.0,3.0,125.0,3
1897,EPIP Zone,1343.0,2.0,86.0,2
1898,EPIP Zone,2350.0,4.0,163.0,3
1899,EPIP Zone,1860.0,3.0,130.0,3
1900,EPIP Zone,2210.0,3.0,165.0,3
1901,EPIP Zone,2710.0,3.0,177.0,3
1904,Electronic City,1025.0,2.0,47.0,3
1907,Electronic City,1500.0,2.0,64.5,3
1908,Electronic City,1060.0,2.0,60.0,2
1909,Electronic City,1152.0,2.0,64.5,2
1911,Electronic City,770.0,1.0,36.0,2
1912,Electronic City,1070.0,2.0,52.0,2
1913,Electronic City,1025.0,2.0,46.0,2
1914,Electronic City,589.0,1.0,27.0,1
1916,Electronic City,910.0,2.0,40.0,2
1917,Electronic City,1108.0,2.0,63.0,2
1918,Electronic City,1128.0,2.0,65.0,2
1919,Electronic City,1800.0,3.0,95.0,3
1920,Electronic City,630.0,1.0,34.65,1
1921,Electronic City,1128.0,2.0,63.0,2
1922,Electronic City,1599.0,3.0,99.0,3
1925,Electronic City,1070.0,2.0,55.0,2
1926,Electronic City,940.0,2.0,41.0,2
1928,Electronic City,1128.0,2.0,68.75,2
1929,Electronic City,1342.0,2.0,73.3,2
1930,Electronic City,1360.0,2.0,71.0,3
1932,Electronic City,1265.0,2.0,56.93,2
1933,Electronic City,1691.0,2.0,102.0,3
1934,Electronic City,1128.0,2.0,65.49,2
1937,Electronic City,1070.0,2.0,56.1,2
1938,Electronic City,2000.0,4.0,120.0,4
1939,Electronic City,890.0,2.0,45.0,2
1940,Electronic City,1128.0,2.0,65.65,2
1941,Electronic City,865.0,2.0,42.0,2
1943,Electronic City,910.0,2.0,42.0,2
1945,Electronic City,1360.0,2.0,75.0,3
1946,Electronic City,770.0,1.0,40.0,2
1947,Electronic City,1128.0,2.0,64.0,2
1948,Electronic City,1070.0,2.0,54.0,2
1950,Electronic City,1571.0,3.0,89.0,3
1951,Electronic City,1111.0,3.0,50.0,3
1952,Electronic City,870.0,2.0,39.5,2
1954,Electronic City,1374.0,2.0,72.0,3
1956,Electronic City,1128.0,2.0,65.35,2
1957,Electronic City,1128.0,2.0,65.0,2
1958,Electronic City,755.0,1.0,34.0,2
1962,Electronic City,1563.0,3.0,91.84,3
1963,Electronic City,1652.0,3.0,70.0,3
1965,Electronic City,1025.0,2.0,54.5,2
1966,Electronic City,1070.0,2.0,46.0,2
1967,Electronic City,1350.0,3.0,58.0,3
1970,Electronic City,1700.0,3.0,75.0,3
1972,Electronic City,1128.0,2.0,68.0,2
1973,Electronic City,700.0,1.0,35.0,1
1974,Electronic City,1360.0,2.0,70.5,3
1976,Electronic City,1571.0,3.0,105.0,3
1980,Electronic City,1600.0,3.0,104.0,3
1982,Electronic City,1500.0,2.0,100.0,3
1986,Electronic City,1152.0,2.0,65.0,2
1987,Electronic City,1070.0,2.0,60.0,2
1988,Electronic City,1128.0,2.0,65.5,2
1989,Electronic City,1200.0,2.0,59.0,2
1990,Electronic City,1152.0,2.0,65.75,2
1992,Electronic City,1070.0,2.0,55.0,2
1993,Electronic City,1060.0,2.0,58.0,2
1994,Electronic City,1025.0,2.0,54.1,2
1999,Electronic City,1500.0,2.0,78.0,3
2000,Electronic City,1213.0,2.0,59.32,2
2001,Electronic City,1575.0,3.0,90.0,3
2002,Electronic City,1449.0,3.0,100.0,3
2004,Electronic City,1125.0,2.0,58.0,2
2006,Electronic City,1575.0,3.0,101.0,3
2008,Electronic City,550.0,1.0,12.0,1
2009,Electronic City,919.0,2.0,40.0,2
2010,Electronic City,1500.0,2.0,78.25,3
2011,Electronic City,1363.0,2.0,79.0,2
2014,Electronic City,1108.0,2.0,67.15,2
2016,Electronic City,1128.0,2.0,65.7,2
2018,Electronic City,1060.0,2.0,51.0,2
2020,Electronic City,1650.0,3.0,100.0,3
2022,Electronic City,1025.0,2.0,49.0,2
2024,Electronic City,1449.0,3.0,90.0,3
2026,Electronic City,1070.0,2.0,58.0,2
2027,Electronic City,1210.0,2.0,54.0,2
2028,Electronic City,1500.0,2.0,75.0,3
2030,Electronic City,1070.0,2.0,52.0,2
2031,Electronic City,2435.0,4.0,119.0,4
2036,Electronic City,1073.0,2.0,60.0,2
2037,Electronic City,1500.0,2.0,78.0,3
2038,Electronic City,1070.0,2.0,47.0,2
2039,Electronic City,1296.0,2.0,65.0,2
2040,Electronic City,1140.0,2.0,70.93,2
2046,Electronic City,2093.0,4.0,104.0,4
2047,Electronic City,1025.0,2.0,53.9,2
2048,Electronic City,940.0,2.0,54.0,2
2049,Electronic City,435.0,1.0,21.0,1
2050,Electronic City,1500.0,2.0,77.5,3
2051,Electronic City,1631.0,3.0,80.0,3
2052,Electronic City,1355.0,2.0,67.0,2
2055,Electronic City,435.0,1.0,22.0,1
2057,Electronic City,1039.0,2.0,50.0,2
2058,Electronic City,770.0,1.0,39.9,2
2060,Electronic City,1128.0,2.0,64.0,2
2061,Electronic City,605.0,1.0,13.31,1
2063,Electronic City,530.0,1.0,13.5,1
2064,Electronic City,1070.0,2.0,53.0,2
2067,Electronic City,1571.0,3.0,83.0,3
2069,Electronic City,1350.0,3.0,66.0,3
2070,Electronic City,1652.0,3.0,110.0,3
2074,Electronic City,1128.0,2.0,65.58,2
2075,Electronic City,635.0,1.0,28.0,1
2076,Electronic City,1128.0,2.0,65.4,2
2079,Electronic City,1355.0,2.0,72.9,2
2083,Electronic City,770.0,1.0,35.0,2
2085,Electronic City,865.0,2.0,40.0,2
2088,Electronic City,1108.0,2.0,63.0,2
2089,Electronic City,630.0,1.0,40.5,1
2092,Electronic City,605.0,1.0,22.0,1
2094,Electronic City,1070.0,2.0,48.0,2
2096,Electronic City,1360.0,2.0,70.0,3
2097,Electronic City,635.0,1.0,28.0,1
2098,Electronic City,1128.0,2.0,65.45,2
2099,Electronic City,890.0,2.0,40.0,2
2104,Electronic City,1360.0,2.0,58.0,3
2107,Electronic City,630.0,1.0,33.7,1
2111,Electronic City,1400.0,3.0,90.0,3
2112,Electronic City,1287.0,3.0,55.0,3
2113,Electronic City,1258.0,2.0,85.5,2
2114,Electronic City,1386.0,2.0,85.0,2
2115,Electronic City,1025.0,2.0,50.0,2
2117,Electronic City,1070.0,2.0,55.0,2
2118,Electronic City,1342.0,2.0,72.0,2
2119,Electronic City,1275.0,3.0,70.0,3
2120,Electronic City,770.0,1.0,38.0,2
2125,Electronic City,1644.0,3.0,92.59,3
2126,Electronic City,1250.0,2.0,62.0,2
2129,Electronic City,418.0,1.0,12.0,1
2130,Electronic City,1128.0,2.0,64.8,2
2133,Electronic City,1060.0,2.0,55.0,2
2134,Electronic City,710.0,1.0,40.42,1
2137,Electronic City,1275.0,3.0,63.43,3
2138,Electronic City,1518.0,3.0,75.0,3
2139,Electronic City,1090.0,2.0,31.48,1
2142,Electronic City,1060.0,2.0,55.0,2
2144,Electronic City,1353.0,2.0,75.0,2
2146,Electronic City,1128.0,2.0,67.0,2
2147,Electronic City,1070.0,2.0,57.0,2
2148,Electronic City,1700.0,3.0,90.0,3
2150,Electronic City,750.0,1.0,35.0,1
2151,Electronic City,1210.0,2.0,55.0,2
2152,Electronic City,1070.0,2.0,60.0,2
2157,Electronic City,1615.0,3.0,97.0,3
2159,Electronic City,1221.0,2.0,68.0,2
2161,Electronic City,1500.0,3.0,73.0,3
2162,Electronic City,995.0,2.0,48.0,2
2163,Electronic City,1342.0,2.0,90.0,2
2165,Electronic City,1128.0,2.0,63.5,2
2166,Electronic City,589.0,1.0,29.0,1
2169,Electronic City,1575.0,3.0,94.5,3
2170,Electronic City,1070.0,2.0,48.0,2
2171,Electronic City,1025.0,2.0,54.0,2
2172,Electronic City,1500.0,2.0,70.0,3
2173,Electronic City,1500.0,2.0,64.5,3
2175,Electronic City,2093.0,4.0,134.0,4
2177,Electronic City,1355.0,2.0,73.0,2
2178,Electronic City,1360.0,2.0,64.99,3
2179,Electronic City,1060.0,2.0,52.0,2
2180,Electronic City Phase II,1056.0,2.0,39.07,2
2181,Electronic City Phase II,1020.0,2.0,30.6,2
2182,Electronic City Phase II,1069.0,2.0,45.0,2
2183,Electronic City Phase II,630.0,1.0,28.35,1
2185,Electronic City Phase II,1000.0,2.0,25.0,2
2186,Electronic City Phase II,1090.0,2.0,28.34,2
2187,Electronic City Phase II,2225.0,4.0,98.88,4
2189,Electronic City Phase II,775.0,2.0,38.0,2
2190,Electronic City Phase II,1266.0,2.0,59.0,2
2191,Electronic City Phase II,1000.0,2.0,28.88,2
2194,Electronic City Phase II,972.0,2.0,44.0,2
2196,Electronic City Phase II,1031.0,2.0,55.0,2
2197,Electronic City Phase II,1003.0,2.0,40.6,2
2198,Electronic City Phase II,1031.0,2.0,56.35,2
2200,Electronic City Phase II,1395.0,2.0,62.78,3
2201,Electronic City Phase II,1160.0,2.0,33.5,2
2202,Electronic City Phase II,1065.0,2.0,30.75,2
2203,Electronic City Phase II,1219.0,2.0,61.25,2
2205,Electronic City Phase II,1000.0,2.0,28.88,2
2206,Electronic City Phase II,1790.0,3.0,100.0,3
2207,Electronic City Phase II,769.0,2.0,40.0,2
2209,Electronic City Phase II,900.0,2.0,32.5,2
2212,Electronic City Phase II,993.0,2.0,50.0,3
2213,Electronic City Phase II,1418.0,3.0,52.47,3
2214,Electronic City Phase II,1070.0,2.0,45.0,2
2217,Electronic City Phase II,1140.0,2.0,33.06,2
2218,Electronic City Phase II,1554.4581916360287,2.0,32.67,2
2219,Electronic City Phase II,1031.0,2.0,55.0,2
2220,Electronic City Phase II,1253.0,2.0,65.8,2
2222,Electronic City Phase II,1160.0,2.0,33.5,2
2223,Electronic City Phase II,975.0,2.0,45.0,3
2224,Electronic City Phase II,6000.0,4.0,260.0,4
2225,Electronic City Phase II,1116.0,2.0,37.0,2
2226,Electronic City Phase II,1125.0,2.0,29.25,2
2227,Electronic City Phase II,1000.0,2.0,28.88,2
2228,Electronic City Phase II,1000.0,2.0,28.88,2
2229,Electronic City Phase II,1000.0,2.0,28.88,2
2230,Electronic City Phase II,1165.0,2.0,30.29,2
2231,Electronic City Phase II,1031.0,2.0,53.0,2
2233,Electronic City Phase II,1065.0,2.0,30.88,2
2235,Electronic City Phase II,1549.0,3.0,80.0,3
2236,Electronic City Phase II,1065.0,2.0,56.13,2
2238,Electronic City Phase II,920.0,2.0,26.0,2
2239,Electronic City Phase II,1140.0,2.0,33.84,2
2240,Electronic City Phase II,1219.0,2.0,61.26,2
2241,Electronic City Phase II,1252.0,2.0,65.0,3
2242,Electronic City Phase II,1125.0,2.0,32.49,2
2244,Electronic City Phase II,1286.0,2.0,69.0,2
2246,Electronic City Phase II,1140.0,2.0,32.92,2
2247,Electronic City Phase II,1116.0,2.0,40.0,2
2248,Electronic City Phase II,1150.0,3.0,46.0,3
2249,Electronic City Phase II,1192.0,2.0,47.0,3
2251,Electronic City Phase II,1020.0,2.0,32.0,2
2252,Electronic City Phase II,1900.0,3.0,97.0,4
2253,Electronic City Phase II,1020.0,2.0,27.43,2
2254,Electronic City Phase II,1025.0,2.0,26.65,2
2255,Electronic City Phase II,1020.0,2.0,29.45,2
2256,Electronic City Phase II,1000.0,2.0,28.88,2
2258,Electronic City Phase II,1140.0,2.0,28.5,2
2259,Electronic City Phase II,1125.0,2.0,32.49,2
2260,Electronic City Phase II,1200.0,2.0,34.65,2
2261,Electronic City Phase II,1160.0,2.0,52.2,2
2262,Electronic City Phase II,1244.0,2.0,55.0,2
2263,Electronic City Phase II,1160.0,2.0,33.51,2
2266,Electronic City Phase II,972.0,2.0,40.0,2
2267,Electronic City Phase II,1160.0,2.0,33.51,2
2269,Electronic City Phase II,1090.0,2.0,31.48,2
2270,Electronic City Phase II,1140.0,2.0,32.92,2
2271,Electronic City Phase II,650.0,1.0,35.0,1
2272,Electronic City Phase II,1155.0,2.0,57.0,2
2273,Electronic City Phase II,1800.0,3.0,92.0,3
2274,Electronic City Phase II,1300.0,2.0,28.0,2
2275,Electronic City Phase II,1940.0,4.0,116.0,3
2276,Electronic City Phase II,1160.0,2.0,33.5,2
2277,Electronic City Phase II,1025.0,2.0,29.6,2
2278,Electronic City Phase II,829.0,2.0,22.8,2
2279,Electronic City Phase II,1252.0,2.0,67.0,2
2281,Electronic City Phase II,1125.0,2.0,32.63,2
2282,Electronic City Phase II,1140.0,2.0,34.0,2
2285,Electronic City Phase II,1252.0,2.0,65.0,3
2286,Electronic City Phase II,1135.0,2.0,46.0,2
2287,Electronic City Phase II,1305.0,3.0,65.0,3
2288,Electronic City Phase II,1165.0,2.0,33.64,2
2290,Electronic City Phase II,1336.0,2.0,50.35,3
2291,Electronic City Phase II,575.0,1.0,16.75,1
2292,Electronic City Phase II,925.0,2.0,49.82,3
2293,Electronic City Phase II,1065.0,2.0,30.76,2
2294,Electronic City Phase II,1065.0,2.0,30.75,2
2295,Electronic City Phase II,1140.0,2.0,33.06,2
2296,Electronic City Phase II,911.0,2.0,26.5,2
2297,Electronic City Phase II,1200.0,2.0,34.65,2
2298,Electronic City Phase II,1031.0,2.0,54.48,2
2302,Electronics City Phase 1,1475.0,3.0,78.29,3
2303,Electronics City Phase 1,1490.0,3.0,78.8,3
2304,Electronics City Phase 1,1113.27,2.0,53.0,2
2305,Electronics City Phase 1,1490.0,3.0,84.0,3
2307,Electronics City Phase 1,1160.0,2.0,52.0,2
2312,Electronics City Phase 1,1015.0,2.0,56.0,2
2314,Electronics City Phase 1,1515.0,2.0,80.91,3
2315,Electronics City Phase 1,995.0,2.0,46.0,2
2316,Electronics City Phase 1,1555.0,2.0,82.0,3
2317,Electronics City Phase 1,1340.0,2.0,75.0,2
2318,Electronics City Phase 1,650.0,1.0,23.0,1
2319,Electronics City Phase 1,1124.0,2.0,55.0,3
2320,Electronics City Phase 1,1175.0,2.0,57.0,2
2321,Electronics City Phase 1,755.0,1.0,42.41,1
2322,Electronics City Phase 1,580.0,1.0,27.0,1
2323,Electronics City Phase 1,940.0,2.0,49.0,2
2324,Electronics City Phase 1,1335.0,2.0,67.0,2
2325,Electronics City Phase 1,1113.12,2.0,55.0,2
2327,Electronics City Phase 1,1350.0,3.0,71.0,3
2329,Electronics City Phase 1,995.0,2.0,49.8,2
2330,Electronics City Phase 1,635.0,1.0,26.0,1
2331,Electronics City Phase 1,1190.0,2.0,68.0,2
2333,Electronics City Phase 1,1450.0,3.0,72.54,3
2334,Electronics City Phase 1,360.0,1.0,16.9,1
2335,Electronics City Phase 1,638.0,1.0,32.0,1
2336,Electronics City Phase 1,1175.0,2.0,64.98,2
2337,Electronics City Phase 1,585.0,1.0,21.0,1
2338,Electronics City Phase 1,1200.0,2.0,59.76,2
2339,Electronics City Phase 1,1145.0,2.0,54.0,2
2340,Electronics City Phase 1,1125.0,2.0,65.0,2
2341,Electronics City Phase 1,1550.0,2.0,82.0,3
2343,Electronics City Phase 1,865.0,2.0,40.0,2
2347,Electronics City Phase 1,1800.0,3.0,93.0,3
2348,Electronics City Phase 1,1314.0,2.0,60.0,2
2349,Electronics City Phase 1,1170.0,2.0,62.0,2
2350,Electronics City Phase 1,1450.0,3.0,79.0,3
2351,Electronics City Phase 1,940.0,2.0,48.0,2
2352,Electronics City Phase 1,940.0,2.0,44.0,2
2353,Electronics City Phase 1,1300.0,2.0,67.0,2
2354,Electronics City Phase 1,1028.0,2.0,51.0,2
2356,Electronics City Phase 1,1205.0,2.0,60.0,2
2358,Electronics City Phase 1,1305.0,2.0,67.0,2
2359,Electronics City Phase 1,755.0,1.0,30.12,1
2360,Electronics City Phase 1,1175.0,2.0,60.0,2
2361,Frazer Town,1700.0,3.0,180.0,3
2362,Frazer Town,1870.0,3.0,185.0,3
2363,Frazer Town,1750.0,3.0,150.0,3
2365,Frazer Town,2000.0,3.0,200.0,3
2366,Frazer Town,3500.0,4.0,330.0,3
2367,Frazer Town,2350.0,4.0,285.0,3
2368,Frazer Town,1550.0,2.0,140.0,2
2369,Frazer Town,1900.0,4.0,145.0,3
2370,Frazer Town,2560.0,3.0,265.0,3
2371,Frazer Town,1554.4581916360287,3.0,180.0,3
2372,Frazer Town,2400.0,3.0,260.0,3
2373,Frazer Town,2560.0,3.0,288.0,3
2376,Frazer Town,1315.0,2.0,140.0,2
2377,Frazer Town,1706.0,3.0,154.0,3
2378,Frazer Town,2079.0,3.0,220.0,3
2381,Frazer Town,3100.0,3.0,400.0,3
2382,Frazer Town,5400.0,3.0,400.0,3
2383,Frazer Town,1180.0,2.0,105.0,2
2384,Frazer Town,2900.0,4.0,325.0,4
2385,Frazer Town,1870.0,3.0,180.0,3
2386,Frazer Town,896.0,1.0,100.0,1
2387,Frazer Town,1420.0,2.0,120.0,2
2388,GM Palaya,1820.0,2.0,86.0,3
2389,GM Palaya,1225.0,2.0,47.0,2
2390,GM Palaya,1140.0,2.0,48.95,2
2391,GM Palaya,1315.0,2.0,65.0,3
2392,GM Palaya,1315.0,3.0,65.0,3
2393,GM Palaya,1315.0,3.0,64.0,3
2394,GM Palaya,1735.0,3.0,70.0,3
2395,GM Palaya,1643.0,2.0,70.0,3
2396,Garudachar Palya,1325.0,2.0,60.8,3
2397,Garudachar Palya,1060.0,2.0,48.7,2
2398,Garudachar Palya,1150.0,2.0,52.75,2
2399,Garudachar Palya,1295.0,2.0,59.5,3
2400,Garudachar Palya,1320.0,2.0,60.6,3
2401,Garudachar Palya,1295.0,2.0,59.5,3
2402,Garudachar Palya,1150.0,2.0,52.8,2
2403,Garudachar Palya,1150.0,2.0,52.8,2
2404,Garudachar Palya,1060.0,2.0,48.5,2
2405,Garudachar Palya,1150.0,2.0,52.5,2
2406,Garudachar Palya,1325.0,2.0,60.8,3
2407,Garudachar Palya,1060.0,2.0,48.66,2
2408,Garudachar Palya,1150.0,2.0,52.0,2
2409,Garudachar Palya,1154.0,2.0,51.8,2
2411,Giri Nagar,2400.0,4.0,400.0,4
2412,Giri Nagar,1800.0,3.0,252.0,3
2413,Giri Nagar,1350.0,3.0,240.0,3
2414,Giri Nagar,2400.0,4.0,400.0,4
2415,Giri Nagar,3000.0,4.0,375.0,6
2416,Giri Nagar,2400.0,6.0,400.0,6
2417,Giri Nagar,4000.0,3.0,750.0,4
2418,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2419,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
2420,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2421,Gollarapalya Hosahalli,1318.0,3.0,54.0,3
2422,Gollarapalya Hosahalli,861.0,2.0,36.5,2
2423,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
2424,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
2425,Gollarapalya Hosahalli,1905.0,3.0,86.0,4
2426,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
2427,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
2428,Gottigere,1100.0,2.0,40.0,2
2429,Gottigere,967.0,2.0,45.0,2
2430,Gottigere,1618.0,3.0,82.5,3
2431,Gottigere,1222.0,2.0,63.0,2
2433,Gottigere,1300.0,3.0,65.0,3
2434,Gottigere,950.0,2.0,38.0,2
2435,Gottigere,1153.0,2.0,48.5,2
2436,Gottigere,812.0,1.0,26.0,1
2438,Gottigere,1460.0,2.0,65.0,3
2439,Gottigere,1500.0,3.0,70.0,3
2440,Gottigere,1621.0,3.0,72.0,3
2441,Gottigere,812.0,1.0,26.0,1
2442,Gottigere,990.0,2.0,40.0,2
2443,Gottigere,1235.0,2.0,63.0,2
2444,Gottigere,1385.0,3.0,64.0,3
2445,Gottigere,1000.0,2.0,35.0,2
2446,Gottigere,1010.0,2.0,35.0,2
2449,Gottigere,1435.0,2.0,62.0,3
2450,Gottigere,945.0,2.0,45.0,2
2452,Gottigere,2500.0,3.0,120.0,4
2453,Gottigere,1230.0,2.0,52.0,3
2454,Gottigere,1120.0,2.0,50.0,2
2455,Gottigere,1500.0,3.0,63.0,3
2456,Gottigere,1200.0,2.0,40.0,2
2457,Gottigere,1280.0,2.0,61.0,2
2458,Gottigere,1205.0,2.0,56.58,2
2459,Gottigere,1170.0,2.0,40.0,2
2460,Gottigere,3000.0,3.0,132.0,4
2461,Gottigere,1613.0,3.0,72.0,3
2462,Gottigere,1110.0,2.0,36.25,2
2463,Gottigere,1245.0,2.0,59.0,2
2464,Gottigere,1200.0,2.0,50.0,2
2465,Green Glen Layout,1670.0,3.0,120.0,3
2466,Green Glen Layout,3250.0,4.0,230.0,4
2467,Green Glen Layout,1776.42,3.0,105.0,3
2468,Green Glen Layout,3250.0,4.0,230.0,4
2469,Green Glen Layout,940.0,2.0,56.8,2
2470,Green Glen Layout,1075.0,2.0,60.0,2
2471,Green Glen Layout,1715.0,3.0,115.0,3
2472,Green Glen Layout,1751.0,2.0,115.0,3
2473,Green Glen Layout,1750.0,3.0,130.0,3
2474,Green Glen Layout,1530.0,3.0,105.0,3
2475,Green Glen Layout,1752.0,3.0,105.0,3
2476,Green Glen Layout,1680.0,4.0,95.0,3
2477,Green Glen Layout,1728.0,3.0,125.0,3
2478,Green Glen Layout,1645.0,3.0,110.0,3
2479,Green Glen Layout,1517.0,3.0,100.0,3
2480,Green Glen Layout,3150.0,4.0,218.0,4
2482,Green Glen Layout,1750.0,3.0,120.0,3
